prompt,intent
62. Show a waterfall chart illustrating the changes in revenue sources for today.,TODAY
63. Create a bubble chart comparing the sales performance of different product lines today.,TODAY
64. Present a gauge chart visualizing the progress towards the daily sales target.,TODAY
65. Illustrate the distribution of customer feedback scores using a histogram for today.,TODAY
66. Chart the monthly trend in website traffic for the current year using a line graph.,TODAY
67. Showcase a population pyramid chart showing the age distribution of customers today.,TODAY
68. Generate a 3D column chart comparing sales performance by region today.,TODAY
69. Present a line chart plotting sales data by hour for today.,TODAY
70. Display a sunburst chart visualizing the product hierarchy and sales breakdown for today.,TODAY
71. Show a radar chart comparing the performance metrics of different departments today.,TODAY
72. Create a bubble chart indicating the performance of different product lines today.,TODAY
73. Present a gauge chart visualizing the progress towards the daily sales target.,TODAY
74. Illustrate the distribution of customer feedback scores using a histogram for today.,TODAY
75. Chart the monthly trend in website traffic for the current year using a line graph.,TODAY
76. Showcase a population pyramid chart showing the age distribution of customers today.,TODAY
77. Generate a 3D column chart comparing sales performance by region today.,TODAY
78. Present a line chart plotting sales data by hour for today.,TODAY
79. Show a radar chart comparing the performance metrics of different departments today.,TODAY
80. Create a bubble chart indicating the performance of different product lines today.,TODAY
81. Display a sunburst chart visualizing the product hierarchy and sales breakdown for today.,TODAY
82. Present a radar chart showcasing the skillset distribution of employees for today.,TODAY
83. Chart the daily website traffic in comparison to last year's data in a line graph.,TODAY
84. Showcase a waterfall chart displaying the daily changes in profit margins for today.,TODAY
85. Create a pareto chart highlighting the most profitable customer segments today.,TODAY
86. Present a funnel chart visualizing the customer journey and conversion rates for today.,TODAY
87. Illustrate the distribution of customer demographics using a population pyramid chart for today.,TODAY
88. Chart the daily attendance rate of employees using a pie chart for today.,TODAY
89. Show a stacked area chart comparing the market share of competitors today.,TODAY
90. Generate a bubble chart indicating the performance of different product lines today.,TODAY
91. Display a heat map showing the hourly distribution of website traffic for today.,TODAY
92. Create a 3D bar chart representing the daily sales figures for different product categories today.,TODAY
93. Show a pie chart depicting the percentage breakdown of expenses by category today.,TODAY
94. Compare the daily revenue from online and offline channels in a line graph for today.,TODAY
95. Present a pareto chart highlighting the most significant product categories in terms of sales today.,TODAY
96. Illustrate the daily variation in customer satisfaction scores using a line graph for today.,TODAY
97. Chart the monthly trend in sales data for the current year using a line graph.,TODAY
98. Showcase a box plot showing the distribution of order processing times for today.,TODAY
99. Create a radar chart comparing the performance metrics of different sales teams today.,TODAY
100. Present a waterfall chart depicting the changes in market share among competitors today.,TODAY
1. Show me the current date and time in a line chart.,NOW
2. Display the current date and time in a bar graph.,NOW
3. Create a pie chart showing the current date and time.,NOW
4. Generate a scatter plot of the current date and time.,NOW
5. Show the current date and time in a table format.,NOW
6. Plot the current date and time on a radar chart.,NOW
7. Display the current date and time on a heatmap.,NOW
8. Create a histogram of the current date and time data.,NOW
9. Show the current date and time in a trendline chart.,NOW
10. Generate a bubble chart representing the current date and time.,NOW
11. Display the current date and time in a pivot table.,NOW
12. Create a donut chart showing the current date and time.,NOW
13. Plot the current date and time on a waterfall chart.,NOW
14. Show the current date and time on a candlestick chart.,NOW
15. Generate a timeline of the current date and time data.,NOW
16. Display the current date and time on a Gantt chart.,NOW
17. Create a combo chart showing the current date and time.,NOW
18. Plot the current date and time on a box plot.,NOW
19. Show the current date and time in a gauge chart.,NOW
20. Generate a radar area chart representing the current date and time.,NOW
21. Display the current date and time on a violin plot.,NOW
22. Create a bubble heatmap of the current date and time data.,NOW
23. Plot the current date and time on a 3D scatter plot.,NOW
24. Show the current date and time in a waterfall chart.,NOW
25. Generate a bullet chart representing the current date and time.,NOW
26. Display the current date and time on a population pyramid chart.,NOW
27. Create a stream graph showing the current date and time.,NOW
28. Plot the current date and time on a bullet graph.,NOW
29. Show the current date and time in a population pyramid chart.,NOW
30. Generate a sunburst chart representing the current date and time.,NOW
31. Display the current date and time on a constant line chart.,NOW
32. Create a KPI chart showing the current date and time.,NOW
33. Plot the current date and time on a doughnut chart.,NOW
34. Show the current date and time in a error bar chart.,NOW
35. Generate a sparkline chart representing the current date and time.,NOW
36. Display the current date and time on a slope chart.,NOW
37. Create a boxplot chart showing the current date and time.,NOW
38. Plot the current date and time on a waterfall chart.,NOW
39. Show the current date and time in a pyramid chart.,NOW
40. Generate an area chart representing the current date and time.,NOW
41. Display the current date and time on a bullet chart.,NOW
42. Create a Pareto chart showing the current date and time.,NOW
43. Plot the current date and time on a population pyramid.,NOW
44. Show the current date and time in a step chart.,NOW
45. Generate a word cloud of the current date and time data.,NOW
46. Display the current date and time on a heat map.,NOW
47. Create a polar area chart showing the current date and time.,NOW
48. Plot the current date and time on a candlestick chart.,NOW
49. Show the current date and time in a pie chart.,NOW
50. Generate a tree map of the current date and time data.,NOW
51. Display the current date and time on a population pyramid.,NOW
52. Create a scatter plot matrix showing the current date and time.,NOW
53. Plot the current date and time on a radar line chart.,NOW
54. Show the current date and time in a bar vs. line chart.,NOW
55. Generate a heatmap of the current date and time.,NOW
56. Display the current date and time on a histogram.,NOW
57. Create a pie chart showing the current date and time distribution.,NOW
58. Plot the current date and time on a spider chart.,NOW
59. Show the current date and time in a pivot chart.,NOW
60. Generate a waterfall chart representing the current date and time.,NOW
61. Display the current date and time on a radar area chart.,NOW
62. Create a surface plot showing the current date and time.,NOW
63. Plot the current date and time on a bubble chart.,NOW
64. Show the current date and time in a donut chart.,NOW
65. Generate a sunburst chart representing the current date and time.,NOW
66. Display the current date and time on a KPI chart.,NOW
67. Create a bar graph showing the current date and time.,NOW
68. Plot the current date and time on a 3D pie chart.,NOW
69. Show the current date and time in a waterfall chart.,NOW
70. Generate a steamgraph of the current date and time data.,NOW
71. Display the current date and time on a bullet graph.,NOW
72. Create a slope chart showing the current date and time.,NOW
73. Plot the current date and time on a Pareto chart.,NOW
74. Show the current date and time in a violin plot.,NOW
75. Generate a candlestick chart representing the current date and time.,NOW
76. Display the current date and time on a slope chart.,NOW
77. Create a Pareto chart showing the current date and time data.,NOW
78. Plot the current date and time on a heatmap.,NOW
79. Show the current date and time in a radar chart.,NOW
80. Generate a population pyramid chart representing the current date and time.,NOW
81. Display the current date and time on a bubble heatmap.,NOW
82. Create a doughnut chart showing the current date and time.,NOW
83. Plot the current date and time on a scatter plot matrix.,NOW
84. Show the current date and time in a constant line chart.,NOW
85. Generate a bullet chart representing the current date and time.,NOW
86. Display the current date and time on a waterfall chart.,NOW
87. Create a population pyramid chart showing the current date and time.,NOW
88. Plot the current date and time on a doughnut chart.,NOW
89. Show the current date and time in a bubble chart.,NOW
90. Generate a radar area chart representing the current date and time.,NOW
91. Display the current date and time on a step chart.,NOW
92. Create a pivot chart showing the current date and time.,NOW
93. Plot the current date and time on a 3D scatter plot.,NOW
94. Show the current date and time in a bullet chart.,NOW
95. Generate a population pyramid chart representing the current date and time.,NOW
96. Display the current date and time on a polar area chart.,NOW
97. Create a sunburst chart showing the current date and time.,NOW
98. Plot the current date and time on a boxplot chart.,NOW
99. Show the current date and time in a word cloud.,NOW
100. Generate a tree map representing the current date and time data.,NOW
1. Generate a date given the year 2022.,DATE
2. Show me a date in September 2023.,DATE
"3. Display a date for January 15th, 2024.",DATE
"4. Create a date for December 31, 2025.",DATE
"5. What is the date for June 10th, 2026?",DATE
"6. Provide a date for November 20, 2027.",DATE
"7. Show me a date for March 5th, 2028.",DATE
8. Generate a date in August 2029.,DATE
"9. Display a date for April 12, 2030.",DATE
"10. Create a date for October 1st, 2031.",DATE
"11. What is the date for July 25, 2032?",DATE
"12. Provide a date for February 8th, 2033.",DATE
"13. Show me a date for September 17, 2034.",DATE
"14. Display a date for May 28th, 2035.",DATE
"15. Create a date for November 4, 2036.",DATE
16. Generate a date in December 2037.,DATE
"17. What is the date for June 19th, 2038?",DATE
"18. Provide a date for March 30, 2039.",DATE
"19. Show me a date for August 10th, 2040.",DATE
"20. Display a date for April 23, 2041.",DATE
"21. Create a date for October 7th, 2042.",DATE
"22. What is the date for July 14, 2043?",DATE
"23. Provide a date for January 26th, 2044.",DATE
"24. Show me a date for September 3, 2045.",DATE
"25. Display a date for May 15th, 2046.",DATE
"26. Create a date for November 29, 2047.",DATE
27. Generate a date in October 2048.,DATE
"28. What is the date for June 8th, 2049?",DATE
"29. Provide a date for March 21, 2050.",DATE
"30. Show me a date for August 1st, 2051.",DATE
"31. Display a date for April 11, 2052.",DATE
"32. Create a date for December 17, 2053.",DATE
"33. What is the date for July 25th, 2054?",DATE
"34. Provide a date for February 9, 2055.",DATE
"35. Show me a date for September 22, 2056.",DATE
"36. Display a date for May 3rd, 2057.",DATE
"37. Create a date for November 16, 2058.",DATE
38. Generate a date in December 2059.,DATE
"39. What is the date for June 25th, 2060?",DATE
"40. Provide a date for March 9, 2061.",DATE
"41. Show me a date for August 19, 2062.",DATE
"42. Display a date for April 1st, 2063.",DATE
"43. Create a date for October 10, 2064.",DATE
"44. What is the date for July 13th, 2065?",DATE
"45. Provide a date for January 27, 2066.",DATE
"46. Show me a date for September 8, 2067.",DATE
"47. Display a date for May 20th, 2068.",DATE
"48. Create a date for November 28, 2069.",DATE
49. Generate a date in October 2070.,DATE
"50. What is the date for June 2nd, 2071?",DATE
"51. Provide a date for March 16, 2072.",DATE
"52. Show me a date for August 27, 2073.",DATE
"53. Display a date for April 7th, 2074.",DATE
"54. Create a date for December 19, 2075.",DATE
"55. What is the date for July 30th, 2076?",DATE
"56. Provide a date for February 12, 2077.",DATE
"57. Show me a date for September 24, 2078.",DATE
"58. Display a date for May 6th, 2079.",DATE
"59. Create a date for November 14, 2080.",DATE
60. Generate a date in December 2081.,DATE
"61. What is the date for June 18th, 2082?",DATE
"62. Provide a date for March 31, 2083.",DATE
"63. Show me a date for August 11, 2084.",DATE
"64. Display a date for April 23rd, 2085.",DATE
"65. Create a date for October 8, 2086.",DATE
"66. What is the date for July 14th, 2087?",DATE
"67. Provide a date for January 26, 2088.",DATE
"68. Show me a date for September 3, 2089.",DATE
"69. Display a date for May 15th, 2090.",DATE
"70. Create a date for November 29, 2091.",DATE
71. Generate a date in October 2092.,DATE
"72. What is the date for June 8th, 2093?",DATE
"73. Provide a date for March 21, 2094.",DATE
"74. Show me a date for August 1st, 2095.",DATE
"75. Display a date for April 11, 2096.",DATE
"76. Create a date for December 17, 2097.",DATE
"77. What is the date for July 25th, 2098?",DATE
"78. Provide a date for February 9, 2099.",DATE
"79. Show me a date for September 22, 2100.",DATE
"80. Display a date for May 3rd, 2101.",DATE
"81. Create a date for November 16, 2102.",DATE
82. Generate a date in December 2103.,DATE
"83. What is the date for June 25th, 2104?",DATE
"84. Provide a date for March 9, 2105.",DATE
"85. Show me a date for August 19, 2106.",DATE
"86. Display a date for April 1st, 2107.",DATE
"87. Create a date for October 10, 2108.",DATE
"88. What is the date for July 13th, 2109?",DATE
"89. Provide a date for January 27, 2110.",DATE
"90. Show me a date for September 8, 2111.",DATE
"91. Display a date for May 20th, 2112.",DATE
"92. Create a date for November 28, 2113.",DATE
93. Generate a date in October 2114.,DATE
"94. What is the date for June 2nd, 2115?",DATE
"95. Provide a date for March 16, 2116.",DATE
"96. Show me a date for August 27, 2117.",DATE
"97. Display a date for April 7th, 2118.",DATE
"98. Create a date for December 19, 2119.",DATE
"99. What is the date for July 30th, 2120?",DATE
"100. Provide a date for February 12, 2121.",DATE
1. Create a line chart showing the average sales over time for the past year.,TIME
2. Show a bar chart of customer satisfaction scores by month.,TIME
3. Plot a scatter plot of temperature versus humidity for each hour of the day.,TIME
4. Display a pie chart of market share for different products.,TIME
"5. Generate a bubble chart showing the relationship between revenue, expenses, and profit.",TIME
6. Create a histogram of employee salaries to analyze the distribution.,TIME
7. Show a stacked bar chart comparing sales by region for the last quarter.,TIME
8. Plot a line chart of website traffic over the course of a day.,TIME
9. Display a radar chart of performance metrics for different departments.,TIME
10. Generate a box plot of delivery times to identify outliers.,TIME
11. Create a waterfall chart illustrating the increase in revenue from various initiatives.,TIME
12. Show a Gantt chart of project timelines and milestones.,TIME
13. Plot a doughnut chart of social media engagement by platform.,TIME
14. Display a funnel chart of the sales pipeline conversion rates.,TIME
15. Generate a radar chart comparing the skills of team members.,TIME
16. Create a bubble chart showing the correlation between advertising expenditure and sales.,TIME
17. Show a pie chart of expenses by category for the past month.,TIME
18. Plot a scatter plot of product price versus customer satisfaction.,TIME
19. Display a bar chart of employee productivity by department.,TIME
20. Generate a heatmap of website traffic by time and day of the week.,TIME
21. Create a box plot of customer wait times at different service locations.,TIME
22. Show a donut chart of the distribution of sales leads by source.,TIME
23. Plot a stacked area chart of revenue by product category over time.,TIME
24. Display a radar chart of customer feedback ratings for different products.,TIME
25. Generate a bar chart of inventory levels by location.,TIME
26. Create a time series line chart of stock prices over the past month.,TIME
27. Show a histogram of customer age distribution.,TIME
28. Plot a scatter plot of advertising expenditure versus revenue.,TIME
29. Display a pie chart of market segmentation by demographic.,TIME
30. Generate a bubble chart showing the relationship between customer satisfaction and loyalty.,TIME
31. Create a waterfall chart illustrating the impact of discounts on revenue.,TIME
32. Show a Gantt chart of project tasks and dependencies.,TIME
33. Plot a doughnut chart of sales by product category.,TIME
34. Display a funnel chart of website traffic conversion rates.,TIME
35. Generate a radar chart comparing the performance of different marketing campaigns.,TIME
36. Create a bubble chart showing the correlation between website traffic and social media engagement.,TIME
37. Show a pie chart of expenses by type for the past quarter.,TIME
38. Plot a scatter plot of customer satisfaction versus customer retention.,TIME
39. Display a bar chart of employee satisfaction by department.,TIME
40. Generate a heatmap of customer feedback ratings by product and month.,TIME
41. Create a box plot of delivery times by shipping method.,TIME
42. Show a donut chart of revenue distribution by sales channel.,TIME
43. Plot a stacked area chart of revenue by region over time.,TIME
44. Display a radar chart of employee performance metrics.,TIME
45. Generate a bar chart of customer demographics by age group.,TIME
46. Create a time series line chart of website traffic by hour of the day.,TIME
47. Show a histogram of product purchase frequency.,TIME
48. Plot a scatter plot of advertising expenditure versus market share.,TIME
49. Display a pie chart of expenses by department for the past year.,TIME
50. Generate a bubble chart showing the relationship between product price and sales volume.,TIME
51. Create a waterfall chart illustrating the impact of promotions on revenue.,TIME
52. Show a Gantt chart of project deadlines and progress.,TIME
53. Plot a doughnut chart of sales by customer type.,TIME
54. Display a funnel chart of lead generation conversion rates.,TIME
55. Generate a radar chart comparing the performance of different sales teams.,TIME
56. Create a bubble chart showing the correlation between customer satisfaction and repeat purchases.,TIME
57. Show a pie chart of revenue distribution by product category.,TIME
58. Plot a stacked area chart of sales by product line over time.,TIME
59. Display a radar chart of employee skill levels by department.,TIME
60. Generate a bar chart of customer satisfaction by age group.,TIME
61. Create a heatmap of website traffic by geographic location and time of day.,TIME
62. Show a donut chart of expense distribution by category.,TIME
63. Plot a scatter plot of advertising expenditure versus customer acquisition cost.,TIME
64. Display a histogram of customer purchase amount distribution.,TIME
65. Generate a line chart showing product sales over time for different regions.,TIME
66. Create a box plot of delivery times by delivery service provider.,TIME
67. Show a pie chart of revenue sources by quarter.,TIME
68. Plot a stacked bar chart of customer satisfaction scores by service type.,TIME
69. Display a radar chart of employee performance metrics by team.,TIME
70. Generate a bubble chart showing the relationship between customer feedback ratings and customer loyalty.,TIME
71. Create a waterfall chart illustrating the impact of discounts on profit.,TIME
72. Show a Gantt chart of project timelines and milestones.,TIME
73. Plot a doughnut chart of sales distribution by region.,TIME
74. Display a funnel chart of website traffic conversion rates by marketing channel.,TIME
75. Generate a radar chart comparing the effectiveness of different advertising campaigns.,TIME
76. Create a bubble chart showing the correlation between customer engagement and social media following.,TIME
77. Show a pie chart of expenses by department for the past month.,TIME
78. Plot a stacked area chart of revenue by product category over time.,TIME
79. Display a radar chart of customer satisfaction ratings for different products.,TIME
80. Generate a bar chart of employee productivity by department.,TIME
81. Create a time series line chart of website traffic over the past week.,TIME
82. Show a histogram of customer age distribution.,TIME
83. Plot a scatter plot of product price versus market demand.,TIME
84. Display a pie chart of market share by product category.,TIME
85. Generate a bubble chart showing the relationship between sales revenue and expenses.,TIME
86. Create a waterfall chart illustrating the increase in revenue from new product launches.,TIME
87. Show a Gantt chart of project tasks and deadlines.,TIME
88. Plot a doughnut chart of customer retention rates.,TIME
89. Display a funnel chart of sales leads conversion rates.,TIME
90. Generate a radar chart comparing the performance metrics of different departments.,TIME
91. Create a bubble chart showing the correlation between website traffic and social media engagement.,TIME
92. Show a pie chart of expenses by type for the past quarter.,TIME
93. Plot a stacked area chart of revenue by region over time.,TIME
94. Display a radar chart of employee performance metrics.,TIME
95. Generate a bar chart of customer demographics by age group.,TIME
96. Create a time series line chart of website traffic by hour of the day.,TIME
97. Show a histogram of product purchase frequency.,TIME
98. Plot a scatter plot of advertising expenditure versus market share.,TIME
99. Display a pie chart of expenses by department for the past year.,TIME
100. Generate a bubble chart showing the relationship between product price and sales volume.,TIME
"1. Retrieve the year from the date ""01/15/2022"".",YEAR
"2. Show me the year from the date ""03/20/2019"".",YEAR
"3. Get the year from ""12/25/2020"".",YEAR
"4. Extract the year from the date ""09/10/2018"".",YEAR
"5. Find the year from ""07/04/2021"".",YEAR
"6. Show only the year from ""11/30/2017"".",YEAR
"7. Get me the year from the date ""05/12/2023"".",YEAR
"8. Extract the year from ""08/17/2016"".",YEAR
"9. Show the year from the date ""02/28/2025"".",YEAR
"10. Retrieve the year from ""10/05/2014"".",YEAR
11. Create a chart displaying the years extracted from a list of dates.,YEAR
12. Plot a line graph showing the trend of years extracted from different data sources.,YEAR
13. Generate a bar chart showcasing the distribution of years extracted from multiple date ranges.,YEAR
14. Compare the years extracted from two separate datasets using a scatter plot.,YEAR
15. Show a pie chart illustrating the proportion of different years extracted from a dataset.,YEAR
16. Visualize the years extracted from various dates using a histogram.,YEAR
17. Display the years extracted from a specific data axis in a pivot table format.,YEAR
18. Create a heatmap showcasing the frequency of different years extracted from different data sources.,YEAR
19. Present a box plot displaying the range of years extracted from a particular dataset.,YEAR
20. Compare the years extracted from different date formats using a radar chart.,YEAR
21. Generate a waterfall chart depicting the change in years extracted over time.,YEAR
22. Show a funnel chart illustrating the progression of years extracted from the dataset.,YEAR
23. Plot a radar chart showing the correlation between years extracted and another variable.,YEAR
24. Create a combo chart displaying the years extracted alongside another metric.,YEAR
25. Customize a bubble chart to showcase the relationship between years extracted and a third variable.,YEAR
26. Present a doughnut chart highlighting the distribution of years extracted from various data points.,YEAR
27. Compare the years extracted from weekdays versus weekends in a radar chart.,YEAR
28. Generate a population pyramid chart illustrating the distribution of years extracted by gender.,YEAR
29. Plot a stacked bar chart showing the accumulation of years extracted over different time periods.,YEAR
30. Create a timeline chart showcasing the progression of years extracted from historical data.,YEAR
31. Display the years extracted from different regions in a map chart.,YEAR
32. Compare the years extracted from different departments using a hierarchical chart.,YEAR
33. Generate a sparkline chart demonstrating the trend of years extracted over a period.,YEAR
34. Plot a pareto chart illustrating the most common years extracted from a dataset.,YEAR
35. Customize a thermometer chart to show the percentage of years extracted compared to a target.,YEAR
36. Present a gauge chart displaying the deviation of years extracted from a set threshold.,YEAR
37. Generate a gantt chart showcasing the timeline of years extracted from different projects.,YEAR
38. Create a sankey chart illustrating the flow of years extracted across different categories.,YEAR
39. Show the years extracted from different sources in a word cloud chart.,YEAR
40. Compare the years extracted from different data sources using a radar chart.,YEAR
41. Plot a funnel chart showcasing the distribution of years extracted from various data points.,YEAR
42. Present a heat map chart illustrating the frequency of different years extracted from a dataset.,YEAR
43. Compare the years extracted from weekdays versus weekends using a pie chart.,YEAR
44. Generate a bubble chart showcasing the relationship between years extracted and another variable.,YEAR
45. Create a waterfall chart displaying the change in years extracted over time periods.,YEAR
46. Show a word cloud chart illustrating the distribution of years extracted from various data sources.,YEAR
47. Compare the years extracted from different regions in a radar chart.,YEAR
48. Plot a hierarchical chart showcasing the progression of years extracted from historical data.,YEAR
49. Generate a sparkline chart demonstrating the trend of years extracted over a period.,YEAR
50. Customize a pareto chart to show the most common years extracted from a dataset.,YEAR
51. Present a thermometer chart displaying the percentage of years extracted compared to a target value.,YEAR
52. Generate a gantt chart illustrating the timeline of years extracted from different projects.,YEAR
53. Create a sankey chart showcasing the flow of years extracted across various categories.,YEAR
54. Show the years extracted from different sources in a stacked bar chart.,YEAR
55. Compare the years extracted from different data sources using a funnel chart.,YEAR
56. Plot a word cloud chart illustrating the distribution of years extracted from various data points.,YEAR
57. Present a radar chart showcasing the relationship between years extracted and another variable.,YEAR
58. Generate a bubble chart demonstrating the correlation between years extracted and a third metric.,YEAR
59. Create a waterfall chart displaying the change in years extracted over different time periods.,YEAR
60. Show a pie chart illustrating the distribution of years extracted from different datasets.,YEAR
61. Compare the years extracted from weekdays versus weekends in a histogram.,YEAR
62. Plot a hierarchical chart showcasing the progression of years extracted from varied data sources.,YEAR
63. Generate a sparkline chart demonstrating the trend of years extracted over multiple time periods.,YEAR
64. Customize a thermometer chart displaying the percentage of years extracted compared to a target value.,YEAR
65. Present a gauge chart showcasing the deviation of years extracted from a specified threshold.,YEAR
66. Generate a gantt chart illustrating the timeline of years extracted from various projects.,YEAR
67. Create a sankey chart showcasing the flow of years extracted across different categories.,YEAR
68. Show the years extracted from different sources in a radar chart.,YEAR
69. Compare the years extracted from different data sources using a pie chart.,YEAR
70. Plot a stacked bar chart illustrating the accumulation of years extracted over various periods.,YEAR
71. Present a heatmap displaying the frequency of years extracted from different data points.,YEAR
72. Compare the years extracted from weekdays versus weekends in a doughnut chart.,YEAR
73. Generate a bubble chart demonstrating the relationship between years extracted and a third variable.,YEAR
74. Create a waterfall chart showcasing the change in years extracted over time periods.,YEAR
75. Show a pie chart illustrating the distribution of years extracted from various datasets.,YEAR
76. Compare the years extracted from different regions in a histogram.,YEAR
77. Plot a hierarchical chart showcasing the progression of years extracted across different sources.,YEAR
78. Generate a sparkline chart demonstrating the trend of years extracted over multiple data points.,YEAR
79. Customize a pareto chart showcasing the most common years extracted from a dataset.,YEAR
80. Present a thermometer chart illustrating the percentage of years extracted compared to a target value.,YEAR
81. Generate a gantt chart illustrating the timeline of years extracted from different projects.,YEAR
82. Create a sankey chart showcasing the flow of years extracted across various categories.,YEAR
83. Show the years extracted from different sources in a waterfall chart.,YEAR
84. Compare the years extracted from different data sources using a radar chart.,YEAR
85. Plot a word cloud chart illustrating the distribution of years extracted from various data points.,YEAR
86. Present a pie chart showcasing the distribution of years extracted from different datasets.,YEAR
87. Compare the years extracted from weekdays versus weekends using a stacked bar chart.,YEAR
88. Generate a bubble chart demonstrating the relationship between years extracted and another variable.,YEAR
89. Create a waterfall chart displaying the change in years extracted over various time periods.,YEAR
90. Show a thermometer chart illustrating the percentage of years extracted compared to a set target value.,YEAR
91. Compare the years extracted from different regions in a sparkline chart.,YEAR
92. Plot a hierarchical chart showcasing the progression of years extracted from various data points.,YEAR
93. Generate a pareto chart showcasing the most common years extracted from a dataset.,YEAR
94. Present a gauge chart illustrating the deviation of years extracted from a specific threshold.,YEAR
95. Generate a gantt chart illustrating the timeline of years extracted from multiple projects.,YEAR
96. Create a sankey chart showcasing the flow of years extracted across different categories.,YEAR
97. Show the years extracted from different sources in a doughnut chart.,YEAR
98. Compare the years extracted from different data sources using a pie chart.,YEAR
99. Plot a stacked bar chart illustrating the accumulation of years extracted over various periods.,YEAR
100. Present a heatmap showcasing the frequency of years extracted from different data points.,YEAR
"1. ""MONTH: Please extract the month from the date 01/15/2021.""",MONTH
"2. ""MONTH: Show me the month from the date 07/25/2022 in Excel.""",MONTH
"3. ""MONTH: Extract the month from the date column in the 'Sales Data' sheet.""",MONTH
"4. ""MONTH: Display the month from the date 09/10/2020 in a line chart.""",MONTH
"5. ""MONTH: Retrieve the month from the date range in cells A2:A10.""",MONTH
"6. ""MONTH: Create a bar chart showing the distribution of months in the 'Revenue' data.""",MONTH
"7. ""MONTH: Calculate the average sales for each month in the 'Monthly Sales' worksheet.""",MONTH
"8. ""MONTH: Build a pie chart illustrating the percentage of sales for each month.""",MONTH
